epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,750.949,0.65008,0.48898,0.98765,0.77987,0.79633,0.80216,0.60636,0.92179,0.91761,1.14696,0.0011882,0.0011882,0.0011882
43,768.386,0.64338,0.48261,0.9819,0.85596,0.79633,0.86912,0.63959,0.93288,0.81889,1.13781,0.0011684,0.0011684,0.0011684
44,786.207,0.64721,0.47937,0.98544,0.8358,0.82187,0.87022,0.64699,0.94158,0.83385,1.15152,0.0011486,0.0011486,0.0011486
45,803.707,0.63375,0.47189,0.97784,0.79671,0.79818,0.81246,0.60571,0.89659,0.88509,1.11248,0.0011288,0.0011288,0.0011288
46,821.279,0.6094,0.45666,0.96488,0.8095,0.82569,0.85795,0.64985,0.93533,0.82163,1.16524,0.001109,0.001109,0.001109
47,838.823,0.60718,0.44514,0.96294,0.80663,0.8367,0.85001,0.64268,0.89862,0.82953,1.12527,0.0010892,0.0010892,0.0010892
48,856.47,0.5963,0.43262,0.95676,0.81649,0.80823,0.86203,0.66798,0.86957,0.79179,1.11924,0.0010694,0.0010694,0.0010694
49,874.071,0.59113,0.43664,0.95949,0.87484,0.76951,0.87023,0.65945,0.91983,0.78755,1.14975,0.0010496,0.0010496,0.0010496
50,891.532,0.58038,0.42122,0.94701,0.85984,0.83296,0.89139,0.67854,0.8949,0.81849,1.12116,0.0010298,0.0010298,0.0010298
51,909.294,0.56946,0.41413,0.94139,0.83178,0.81653,0.86904,0.65216,0.91944,0.78978,1.14826,0.00101,0.00101,0.00101
52,927.075,0.57057,0.41384,0.94356,0.80709,0.76767,0.81148,0.61935,0.91548,0.96732,1.13765,0.0009902,0.0009902,0.0009902
53,944.807,0.56302,0.40959,0.93776,0.84634,0.79842,0.87996,0.66727,0.90343,0.75229,1.14373,0.0009704,0.0009704,0.0009704
54,962.22,0.54824,0.39864,0.93391,0.8189,0.83797,0.86122,0.65267,0.91449,0.8142,1.15392,0.0009506,0.0009506,0.0009506
55,979.797,0.54509,0.40515,0.92598,0.78744,0.84286,0.8428,0.63354,0.87972,0.83416,1.12685,0.0009308,0.0009308,0.0009308
56,997.434,0.5269,0.3761,0.91912,0.80849,0.82936,0.82907,0.60987,0.92478,0.84202,1.15506,0.000911,0.000911,0.000911
57,1014.99,0.52261,0.37501,0.91948,0.84965,0.85505,0.88174,0.65065,0.90182,0.74222,1.14949,0.0008912,0.0008912,0.0008912
58,1032.69,0.51596,0.36559,0.91231,0.89662,0.79566,0.88243,0.67015,0.8731,0.76604,1.11514,0.0008714,0.0008714,0.0008714
59,1050.7,0.5167,0.36416,0.91336,0.86693,0.83119,0.87879,0.65236,0.90066,0.81164,1.13993,0.0008516,0.0008516,0.0008516
60,1068.23,0.50255,0.36121,0.90726,0.81292,0.79817,0.82035,0.62604,0.86186,0.86877,1.11285,0.0008318,0.0008318,0.0008318
61,1085.55,0.50177,0.36189,0.90385,0.84728,0.83486,0.86504,0.65261,0.86741,0.78327,1.11143,0.000812,0.000812,0.000812
62,1103.16,0.48722,0.34781,0.89697,0.84961,0.81888,0.85757,0.64464,0.90215,0.86341,1.15048,0.0007922,0.0007922,0.0007922
63,1120.79,0.47136,0.33356,0.89003,0.8237,0.8,0.81071,0.60018,0.8975,0.89061,1.14103,0.0007724,0.0007724,0.0007724
64,1138.14,0.47554,0.34021,0.89136,0.79405,0.84188,0.83883,0.63237,0.9089,0.88649,1.14799,0.0007526,0.0007526,0.0007526
65,1155.51,0.4628,0.32955,0.88678,0.84427,0.80573,0.84744,0.64245,0.89416,0.82429,1.14826,0.0007328,0.0007328,0.0007328
